RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,SpecCodeType,SpecCode,SpecVal,Sex,TotalNo,CatIdentifier,NoMeas,SubFactor,SubWgt,CatCatchWgt,LngtCode,LngtClass,HLNoAtLngt
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,330,6
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,320,12
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,310,7
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,300,9
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,260,5
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,270,4
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,280,9
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,290,9
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,250,1
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,420,2
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,390,4
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,400,2
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,410,1
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,380,4
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,370,9
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,340,12
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,360,8
HL,IE-IGFS,4,IRL,CEXP,GOV   ,110,I2,P ,FG101 ,3,2012,W,126438,1,-9,115,1,115,1,34820,34820,. ,350,11
HL,IE-IGFS,4,IRL,CEXP,GOV   ,55,I2,P ,14,4,2012,W,126438,1,-9,260.99,1,126,2.0714,14250,29517,. ,230,24
HL,IE-IGFS,4,IRL,CEXP,GOV   ,55,I2,P ,14,4,2012,W,126438,1,-9,260.99,1,126,2.0714,14250,29517,. ,250,9
HL,IE-IGFS,4,IRL,CEXP,GOV   ,55,I2,P ,14,4,2012,W,126438,1,-9,260.99,1,126,2.0714,14250,29517,. ,240,18
HL,IE-IGFS,4,IRL,CEXP,GOV   ,55,I2,P ,14,4,2012,W,126438,1,-9,260.99,1,126,2.0714,14250,29517,. ,210,4
HL,IE-IGFS,4,IRL,CEXP,GOV   ,55,I2,P ,14,4,2012,W,126438,1,-9,260.99,1,126,2.0714,14250,29517,. ,220,13
HL,IE-IGFS,4,IRL,CEXP,GOV   ,55,I2,P ,14,4,2012,W,126438,1,-9,260.99,1,126,2.0714,14250,29517,. ,200,2
